name,expected,observed,passed,severity
MATR [recency] added_noise: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [recency] shift_to_start: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [recency] shift_to_end: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [recency] smoothing: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [recency]: fully permuted graded map scores at chance (rank),~ chance -0.001,-0.004,True,error
MATR [recency] permuted_fraction: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [uniform] added_noise: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [uniform] shift_to_start: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [uniform] shift_to_end: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [uniform] smoothing: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [uniform]: fully permuted graded map scores at chance (rank),~ chance 0.001,0.002,True,error
MATR [uniform] permuted_fraction: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [final_position] added_noise: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [final_position] shift_to_start: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [final_position] shift_to_end: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [final_position] smoothing: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
MATR [final_position]: fully permuted graded map scores at chance (rank),~ chance 0.003,-0.001,True,error
MATR [final_position] permuted_fraction: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
HUST [recency] added_noise: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
HUST [recency] shift_to_start: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
HUST [recency] shift_to_end: undegraded ground truth at its ceiling (rank agreement 1),1,1.000000,True,error
